 ,Open,High,Low,Close,Volume,OpenInt
2008-06-16,15400.57031,15553.37012,15340.33984,15395.82031,15200,0
2008-06-17,15388.36035,15732.75,15358.75,15696.90039,18200,0
2008-06-18,15744.20996,15789.62012,15390.21973,15422.30957,22000,0
2008-06-19,15250.46973,15259.36035,15051.66016,15087.99023,18600,0
2008-06-20,15194.73047,15194.73047,14520.87988,14571.29004,26000,0
2008-06-23,14423.04981,14509.69043,14163.4502,14293.32031,24600,0
2008-06-24,14290.16016,14432.90039,13991.30957,14106.58008,24800,0
2008-06-25,13776.20996,14247.16016,13736.00977,14220.07031,23000,0
2008-06-26,14300.71973,14449.80957,14196.67969,14421.82031,21800,0
2008-06-27,14127.75977,14127.75977,13760.78027,13802.21973,32200,0
2008-06-30,13791.01953,13872.05957,13405.54004,13461.59961,22400,0
2008-07-01,13480.01953,13613.00977,12904.08984,12961.67969,27600,0
2008-07-02,12948.04981,13711.00977,12822.75,13664.62012,32000,0
2008-07-03,13458.29981,13458.29981,12934.91992,13094.11035,29200,0
2008-07-04,13097.00977,13508.37988,13031.42969,13454,31400,0
2008-07-07,13561.91992,13793.38965,13476.29004,13525.99023,21200,0
2008-07-08,13226.04004,13451.66992,13049.95996,13349.65039,25400,0
2008-07-09,13581.41016,13998.48047,13581.41016,13964.25977,27600,0
2008-07-10,13851.58984,14046.58984,13763.94043,13926.24023,26400,0
2008-07-11,14063.4502,14063.4502,13351.33984,13469.84961,29000,0
2008-07-14,13333.03027,13557.20996,13270.40039,13330.50977,23600,0
2008-07-15,13067.08008,13067.08008,12607.62012,12676.19043,30000,0
2008-07-16,12759.75977,12935.25,12514.99023,12575.79981,31200,0
2008-07-17,12909.57031,13150.34961,12843.79004,13111.84961,33600,0
2008-07-18,13234.53027,13684.26953,13093.33984,13635.40039,36600,0
2008-07-21,13782.12988,13878.87988,13581.19043,13850.04004,32400,0
2008-07-22,13837.63965,14206.12988,13798.17969,14104.2002,35600,0
2008-07-23,14568.21973,14979.90039,14568.21973,14942.28027,39000,0
2008-07-24,15082.37012,15130.08984,14608.04981,14777.00977,31200,0
2008-07-25,14451.9502,14484.38965,14210.62988,14274.94043,27800,0
2008-07-28,14267.03027,14421.61035,14219.37988,14349.11035,21800,0
2008-07-29,14085.53027,14153.12012,13727.13965,13791.54004,23600,0
